soil.res;temp.0;temp.5;temp.10;temp.15;smoi;lmoi;litter.d;ph.litter;ph.soil0;ph.soil5;rootdw0;rootdw5;rootn0;rootc0;rootn5;rootc5;litter.c;litter.n;soiln0;soilc0;soiln5;soilc5;litno3;litnh4;litdoc;sno30;snh40;sdoc0;sno35;snh45;sdoc5;nn
3.93;12.46;11.95;11.65;11.57;38.44095;0.480983605;0.4;6.32;4.15;3.97;0.135;0.092;1.4871315;35.064142;1.489397;34.003046;466.715795;13.753275;6.022144075;80.277138;3.868937609;46.15289257;0.00219991;0.002935775;0.354478442;0.0098031;0.011062621;0.131726927;0.004;0.003274977;0.06209711;1.23
2.2575;12.54;11.62;11.42;11.24;42.95834041;0.523790419;1;6.42;4.11;4.19;0.035748571;0.015827206;1.8045325;38.971527;1.4750255;43.63916;445.02171;14.662285;4.603689599;61.50059723;2.684427451;31.34294141;0.002;0.005430451;0.055263552;0.019156898;0.001163273;0.061463522;0.006735169;0.001056539;0.030764748;2.25
2.7775;12.21;11.58;11.45;11.22;44.5498365;0.556559246;1.5;6.56;4.18;4.11;0.043773333;0.02905;1.270301;40.0628055;1.1163245;41.6296825;458.06374;15.00928;5.491034401;72.63563031;4.103998782;50.1610439;0.008289975;0.003331511;0.546508496;0.00945618;0.007698264;0.103290027;0.010302056;0.001908968;0.058810144;0.71
1.4375;12.35;11.7;11.48;11.33;38.70062603;0.491318183;0.5;5.81;3.66;3.59;0.048357314;0.04511244;1.4984225;38.100506;1.3695935;38.9411735;458.303415;14.628235;3.057878476;47.09097684;1.792495725;24.72919595;0.003932481;0.003648558;0.469906182;0.014681569;0.001;0.076007185;0.01077941;0.001617396;0.062341205;1.38
2.2625;12.41;11.77;11.54;11.4;45.32688785;0.48658061;0.4;6.59;4.16;3.95;0.073;0.017865497;1.766552;37.4925155;1.382572;40.51918;442.654705;16.073905;5.458909018;70.73427842;2.645144989;30.10343389;0.01141872;0.010751007;0.21095278;0.021087015;0.009388676;0.10198032;0.007708472;0.001286711;0.040428668;2.73
1.7475;12.44;11.87;11.59;11.47;36.92078818;0.565878923;0.5;6.26;4.57;6.37;0.078;0.016538462;1.401116;38.9143045;1.3323425;39.9901085;447.999175;13.346185;7.177007279;102.7788164;4.323691527;54.25079234;0.002;0.004260515;0.347686761;0.012589956;0.002422405;0.05127543;0.02270363;0.0017412;0.028775641;2.06
2.8925;12.67;11.74;11.6;11.49;35.22600165;0.620396681;2;5.53;3.91;4.07;0.072;0.045690476;1.7373425;34.034937;0.867939;42.6328315;466.135825;16.698245;4.813071526;63.71436583;2.099705932;22.88511991;0.035637225;0.060699875;1.07449685;0.008514982;0.005257331;0.080642179;0.004;0.001;0.018090786;1.59
2.925;12.42;11.71;11.64;11.51;38.70062603;0.530675778;0.5;5.35;4.06;4.08;0.128;0.089;1.9017525;36.854412;1.3443435;40.6674865;458.750095;13.671555;5.405922339;72.93388802;2.820831693;34.98260879;0.018256744;0.004184222;0.450486027;0.009041096;0.002068729;0.068652338;0.017238046;0.001650242;0.042464128;1.13
1.76;12.68;12.01;11.74;11.51;36.62883666;0.53173886;0.6;6.2;4.16;3.81;0.079;0.042459016;1.9308165;36.404957;1.408874;39.584833;460.448685;14.85109;4.278506193;51.45142656;2.278275635;23.81097981;0.019854981;0.019691666;0.903663195;0.011821798;0.002137358;0.060086529;0.004220844;0.004669594;0.05422063;2.18
4.5925;12.53;11.8;11.53;11.5;37.12432705;0.606786913;1.5;5.89;4.21;3.92;0.056;0.024155496;1.448022;40.7676605;1.457317;41.534773;471.540875;14.3231;5.570414636;70.45669894;3.534091137;40.90777905;0.030633995;0.016789682;1.084978624;0.020090936;0.002872334;0.055317688;0.004376578;0.002938238;0.05406503;1.06
5.0375;12.53;12.11;11.95;11.87;41.93952638;0.698754243;0.8;6.47;4.06;3.9;0.083612225;0.025581395;1.4871305;41.529854;1.3243965;36.879023;456.6057;14.09262;4.189833567;53.04564152;2.027534767;23.98714154;0.043715763;0.035130356;0.675930078;0.018926484;0.001379178;0.092593385;0.007549354;0.003724097;0.055832618;1.58
